dataset,id,description,amount,true_category,rule_prediction,rule_correct,claude_prediction,claude_confidence,claude_correct
Dataset 3 — Mixed Sole Trader,27,UBER EATS,-23.5,Personal / Drawings,Travel & Transport,False,Travel & Transport,0.55,False
Dataset 3 — Mixed Sole Trader,28,DELIVEROO,-18.0,Personal / Drawings,Other,False,Travel & Transport,0.45,False
Dataset 3 — Mixed Sole Trader,29,JUST EAT,-15.0,Personal / Drawings,Other,False,Operating Expenses,0.72,False
Dataset 3 — Mixed Sole Trader,30,COSTA COFFEE,-4.5,Personal / Drawings,Other,False,Travel & Transport,0.72,False
Dataset 3 — Mixed Sole Trader,31,STARBUCKS,-5.2,Personal / Drawings,Other,False,Travel & Transport,0.72,False
Dataset 3 — Mixed Sole Trader,32,PRET A MANGER,-6.8,Personal / Drawings,Other,False,Travel & Transport,0.72,False
Dataset 3 — Mixed Sole Trader,33,BRITISH GAS,-98.0,Utilities,Utilities,True,Utilities,0.97,True
Dataset 3 — Mixed Sole Trader,34,EDF ENERGY,-67.0,Utilities,Utilities,True,Utilities,0.99,True
Dataset 3 — Mixed Sole Trader,35,BT BROADBAND,-45.0,Utilities,Other,False,Utilities,0.95,True
Dataset 3 — Mixed Sole Trader,36,O2 MOBILE,-35.0,Utilities,Other,False,Utilities,0.85,True
Dataset 3 — Mixed Sole Trader,37,THAMES WATER,-34.0,Utilities,Utilities,True,Utilities,0.99,True
Dataset 3 — Mixed Sole Trader,38,ATM WITHDRAWAL,-200.0,Personal / Drawings,Personal / Drawings,True,Personal / Drawings,0.82,True
Dataset 3 — Mixed Sole Trader,39,CASH MACHINE,-150.0,Personal / Drawings,Personal / Drawings,True,Personal / Drawings,0.72,True
Dataset 3 — Mixed Sole Trader,40,CASH WITHDRAWAL,-100.0,Personal / Drawings,Personal / Drawings,True,Personal / Drawings,0.72,True
Dataset 3 — Mixed Sole Trader,41,GOOGLE ADS,-150.0,Marketing & Advertising,Marketing & Advertising,True,Marketing & Advertising,0.99,True
Dataset 3 — Mixed Sole Trader,42,FACEBOOK ADS,-200.0,Marketing & Advertising,Marketing & Advertising,True,Marketing & Advertising,0.99,True
Dataset 3 — Mixed Sole Trader,43,MAILCHIMP,-25.0,Marketing & Advertising,Software & Subscriptions,False,Software & Subscriptions,0.97,False
Dataset 3 — Mixed Sole Trader,44,FIVERR MARKETPLACE,-180.0,Professional Fees,Professional Fees,True,Marketing & Advertising,0.82,False
Dataset 3 — Mixed Sole Trader,45,UPWORK HOURLY,-250.0,Professional Fees,Professional Fees,True,Professional Fees,0.92,True
Dataset 3 — Mixed Sole Trader,46,COMPANIES HOUSE,-13.0,Professional Fees,Professional Fees,True,Professional Fees,0.85,True
Dataset 3 — Mixed Sole Trader,47,ROYAL MAIL,-18.0,Operating Expenses,Operating Expenses,True,Operating Expenses,0.82,True
Dataset 3 — Mixed Sole Trader,48,DHL COURIER,-24.0,Operating Expenses,Operating Expenses,True,Operating Expenses,0.82,True
Dataset 3 — Mixed Sole Trader,49,SIMPLY BUSINESS,-67.0,Operating Expenses,Operating Expenses,True,Operating Expenses,0.92,True
Dataset 3 — Mixed Sole Trader,50,BARCLAYS BANK CHARGE,-8.0,Bank Charges,Bank Charges,True,Bank Charges,0.99,True
Dataset 3 — Mixed Sole Trader,51,CLIENT PAYMENT REF 102,3500.0,Revenue,Revenue,True,Revenue,0.97,True
Dataset 3 — Mixed Sole Trader,52,BACS RECEIPT GAMMA LTD,2100.0,Revenue,Revenue,True,Revenue,0.92,True
Dataset 3 — Mixed Sole Trader,53,AMAZON MARKETPLACE,-67.0,Supplies,Supplies,True,Supplies,0.72,True
Dataset 3 — Mixed Sole Trader,54,STAPLES OFFICE,-89.0,Supplies,Supplies,True,Supplies,0.92,True
Dataset 3 — Mixed Sole Trader,55,IKEA STORE,-145.0,Supplies,Supplies,True,Supplies,0.72,True
Dataset 3 — Mixed Sole Trader,56,RYMAN STATIONERY,-23.0,Supplies,Supplies,True,Supplies,0.95,True
Dataset 3 — Mixed Sole Trader,57,PREMIER INN,-120.0,Travel & Transport,Travel & Transport,True,Travel & Transport,0.95,True
Dataset 3 — Mixed Sole Trader,58,NATIONAL RAIL,-78.0,Travel & Transport,Travel & Transport,True,Travel & Transport,0.97,True
Dataset 3 — Mixed Sole Trader,59,EASYJET,-189.0,Travel & Transport,Travel & Transport,True,Travel & Transport,0.95,True
Dataset 3 — Mixed Sole Trader,60,HOTEL BOOKING,-234.0,Travel & Transport,Other,False,Travel & Transport,0.92,True
Dataset 3 — Mixed Sole Trader,61,SLACK MONTHLY,-8.75,Software & Subscriptions,Software & Subscriptions,True,Software & Subscriptions,0.99,True
Dataset 3 — Mixed Sole Trader,62,GITHUB,-4.0,Software & Subscriptions,Software & Subscriptions,True,Software & Subscriptions,0.97,True
Dataset 3 — Mixed Sole Trader,63,DROPBOX,-11.99,Software & Subscriptions,Software & Subscriptions,True,Software & Subscriptions,0.99,True
Dataset 3 — Mixed Sole Trader,64,CANVA PRO,-12.99,Software & Subscriptions,Software & Subscriptions,True,Software & Subscriptions,0.99,True
Dataset 3 — Mixed Sole Trader,65,LINKEDIN PREMIUM,-39.99,Software & Subscriptions,Software & Subscriptions,True,Software & Subscriptions,0.92,True
Dataset 3 — Mixed Sole Trader,66,FASTER PAYMENT TO JAMES,-500.0,Transfers,Transfers,True,Personal / Drawings,0.72,False
Dataset 3 — Mixed Sole Trader,67,BACS TRANSFER SAVINGS,-1000.0,Transfers,Transfers,True,Transfers,0.92,True
Dataset 3 — Mixed Sole Trader,68,TRANSFER TO JOINT ACC,-800.0,Personal / Drawings,Transfers,False,Transfers,0.95,False
Dataset 3 — Mixed Sole Trader,69,PERSONAL TRANSFER,-300.0,Personal / Drawings,Personal / Drawings,True,Personal / Drawings,0.95,True
Dataset 3 — Mixed Sole Trader,70,HMRC PAYE,-600.0,Payroll,Payroll,True,Payroll,0.95,True
Dataset 3 — Mixed Sole Trader,71,WAGES PAYMENT,-1800.0,Payroll,Payroll,True,Payroll,0.99,True
Dataset 3 — Mixed Sole Trader,72,SALARY JANE,-2200.0,Payroll,Other,False,Payroll,0.99,True
Dataset 3 — Mixed Sole Trader,73,JOHN SMITH CONSULTING,-400.0,Professional Fees,Other,False,Professional Fees,0.91,True
Dataset 3 — Mixed Sole Trader,74,SARAH JONES DESIGN,-650.0,Professional Fees,Other,False,Professional Fees,0.85,True
Dataset 3 — Mixed Sole Trader,75,CLIENT PAYMENT REF 103,1900.0,Revenue,Revenue,True,Revenue,0.97,True
Dataset 3 — Mixed Sole Trader,76,FREELANCE INCOME,2800.0,Revenue,Other,False,Revenue,0.97,True
Dataset 3 — Mixed Sole Trader,77,AMAZON,-45.0,Supplies,Supplies,True,Supplies,0.72,True
Dataset 3 — Mixed Sole Trader,78,AMAZON,-12.99,Software & Subscriptions,Supplies,False,Supplies,0.55,False
Dataset 3 — Mixed Sole Trader,79,PAYPAL PAYMENT,-89.0,Supplies,Other,False,Operating Expenses,0.45,False
Dataset 3 — Mixed Sole Trader,80,STRIPE RECEIPT,450.0,Revenue,Other,False,Revenue,0.92,True
Dataset 3 — Mixed Sole Trader,81,SUMUP *CAFE,-8.5,Personal / Drawings,Other,False,Travel & Transport,0.55,False
Dataset 3 — Mixed Sole Trader,82,SUMUP *OFFICE SUPPLIES,-34.0,Supplies,Other,False,Supplies,0.95,True
Dataset 3 — Mixed Sole Trader,83,UNKNOWN MERCHANT,-67.0,Other,Other,True,Other,0.4,True
Dataset 3 — Mixed Sole Trader,84,MISC PAYMENT,-45.0,Other,Other,True,Other,0.4,True
Dataset 3 — Mixed Sole Trader,85,REF 774421,1200.0,Revenue,Other,False,Other,0.4,False
Dataset 3 — Mixed Sole Trader,86,BACS 334891,800.0,Revenue,Other,False,Transfers,0.4,False
Dataset 3 — Mixed Sole Trader,87,VODAFONE BUSINESS,-45.0,Utilities,Utilities,True,Utilities,0.85,True
Dataset 3 — Mixed Sole Trader,88,VIRGIN MEDIA,-39.99,Utilities,Utilities,True,Utilities,0.85,True
Dataset 3 — Mixed Sole Trader,89,HISCOX INSURANCE,-89.0,Operating Expenses,Operating Expenses,True,Operating Expenses,0.95,True
Dataset 3 — Mixed Sole Trader,90,MAINTENANCE COST,-120.0,Operating Expenses,Operating Expenses,True,Operating Expenses,0.82,True
Dataset 3 — Mixed Sole Trader,91,EVRI COURIER,-8.5,Operating Expenses,Operating Expenses,True,Operating Expenses,0.82,True
Dataset 3 — Mixed Sole Trader,92,PARCELFORCE,-14.0,Operating Expenses,Operating Expenses,True,Operating Expenses,0.82,True
Dataset 3 — Mixed Sole Trader,93,DIVIDEND PAYMENT,2000.0,Revenue,Personal / Drawings,False,Personal / Drawings,0.82,False
Dataset 3 — Mixed Sole Trader,94,INTEREST RECEIVED,45.0,Revenue,Other,False,Revenue,0.92,True
Dataset 3 — Mixed Sole Trader,95,REFUND AMAZON,34.99,Revenue,Supplies,False,Supplies,0.72,False
Dataset 3 — Mixed Sole Trader,96,CASHBACK REWARD,25.0,Revenue,Other,False,Bank Charges,0.72,False
Dataset 3 — Mixed Sole Trader,97,PERSONAL LOAN REPAYMENT,-350.0,Personal / Drawings,Other,False,Personal / Drawings,0.82,True
Dataset 3 — Mixed Sole Trader,98,COUNCIL TAX,-145.0,Personal / Drawings,Other,False,Utilities,0.72,False
Dataset 3 — Mixed Sole Trader,99,MORTGAGE PAYMENT,-1200.0,Personal / Drawings,Other,False,Personal / Drawings,0.72,True
Dataset 3 — Mixed Sole Trader,100,LIFE INSURANCE,-45.0,Personal / Drawings,Operating Expenses,False,Operating Expenses,0.72,False
